,Currency,Name,Units per CHF,CHF per unit,Date
1,EUR,Euro,0.9579339857138476,1.0439132705525689,2022-01-09
1,EUR,Euro,0.9541564519418528,1.0480461542390125,2022-01-10
1,EUR,Euro,0.9526528902601544,1.049700274070355,2022-01-11
1,EUR,Euro,0.9576946787274928,1.0441741216822036,2022-01-12
1,EUR,Euro,0.9583269339601324,1.0434852288536445,2022-01-13
1,EUR,Euro,0.9591779549947372,1.0425594070346276,2022-01-14
1,EUR,Euro,0.9585511091662798,1.0432411902060927,2022-01-15
1,EUR,Euro,0.9581084157042936,1.0437232192193118,2022-01-16
1,EUR,Euro,0.9593892819802669,1.0423297599655366,2022-01-17
1,EUR,Euro,0.962179253960298,1.0393073804948847,2022-01-18
1,EUR,Euro,0.9625852309461368,1.03886904541127,2022-01-19
1,EUR,Euro,0.9633832390127726,1.0380085094948823,2022-01-20
1,EUR,Euro,0.9664430319956157,1.0347221376671238,2022-01-21
1,EUR,Euro,0.966584641259456,1.034570545934812,2022-01-22
1,EUR,Euro,0.96661790061086,1.0345349484714117,2022-01-23
1,EUR,Euro,0.9666938508337486,1.0344536681779093,2022-01-24
1,EUR,Euro,0.9639864512506452,1.037358978129446,2022-01-25
1,EUR,Euro,0.9622475137364032,1.039233654257005,2022-01-26
1,EUR,Euro,0.963178802250451,1.0382288290227286,2022-01-27
1,EUR,Euro,0.9636399323001072,1.0377320059922228,2022-01-28
1,EUR,Euro,0.9634886611497346,1.0378949336120844,2022-01-29
1,EUR,Euro,0.9634949553990616,1.0378881533280253,2022-01-30
1,EUR,Euro,0.958788456770848,1.042982936369458,2022-01-31
1,EUR,Euro,0.9638303695680378,1.037526966958068,2022-02-01
1,EUR,Euro,0.9633504897413504,1.0380437967789786,2022-02-02
1,EUR,Euro,0.9500257656712936,1.0526030305013827,2022-02-03
1,EUR,Euro,0.9440863759383956,1.0592251148694185,2022-02-04
1,EUR,Euro,0.943698306455012,1.0596606915153683,2022-02-05
1,EUR,Euro,0.9437991414992072,1.0595474778791585,2022-02-06
1,EUR,Euro,0.9463212464386704,1.0567236060305536,2022-02-07
1,EUR,Euro,0.947371261206012,1.0555523910731586,2022-02-08
1,EUR,Euro,0.947403184617514,1.0555168234986674,2022-02-09
1,EUR,Euro,0.9432623838480068,1.0601504068470682,2022-02-10
